Abel	アーベル
Marius	マリウス
Mark	マルク
Markus	マルクス
Martin	マルティン、マルティーン
Mathias	マティーアス、マティアス
Matthäus	マテーウス
Matthias	マティーアス
Max	マックス
Maximilian	マクシミリアン
Meinrad	マインラート
Melchior	メルヒオール、メルヒオーア
Michael	ミヒャエル
Michel	ミヒェル
Moritz	モーリッツ
Moriz	モーリッツ
Nathan	ナータン
Nathanael	ナターナエル
Nepomuk	ネーポムク
Niklas	ニクラス
Niklaus	ニクラウス
Nikolaus	ニコラウス
Norbert	ノルベルト、ノアベルト
Olaf	オーラフ
Oliver	オリヴァー
Oscar	オスカー
Oskar	オスカー
Oswald	オスヴァルト
Oswin	オスヴィン
Otmar	オットマー
Ottmar	オットマー
Otto	オットー
Ottomar	オットマー
Pascal	パスカル
Patrick	パトリック
Paul	パウル
Peter	ペーター
Petrus	ペートルス
Philipp	フィリップ
Rafael	ラファエル
Raimund	ライムント
Rainald	ライナルト
Rainer	ライナー
Ralf	ラルフ
Ralph	ラルフ
Randolf	ランドルフ
Raphael	ラファエル
Reimar	ライマー
Reimund	ライムント
Reinald	ライナルト
Reiner	ライナー
Reinhard	ラインハルト
Reinhold	ラインホルト
Reinmar	ラインマー
Richard	リヒャルト
Robert	ローベルト
Rochus	ロホス、ロッホス
Roderich	ローデリヒ
Roland	ローラント
Rolf	ロルフ
Roman	ローマン
Rüdiger	リュディガー
Rudolf	ルードルフ、ルドルフ
Rupert	ルーペルト
Ruprecht	ループレヒト
Samuel	ザームエル
Sascha	ザシャ
Sebastian	ゼバスティアン、ゼバスチャン
Siegbert	ジークベルト
Siegfried	ジークフリート
Sieghard	ジークハルト
Siegmund	ジークムント
Siegward	ジークヴァルト
Sigismund	ジギスムント
Sigiswald	ジギスヴァルト
Sigmund	ジークムント
Silvester	ジルヴェスター
Simon	ジーモン
Stefan	シュテファン
Stephan	シュテファン
Sven	スヴェン
Theo	テオ
Theobald	テオバルト
Theodor	テオドール、テーオドーア
Theophil	テオフィル
Thomas	トーマス
Timo	ティモ
Tobias	トビアス
Traugott	トラウゴット
Udo	ウド
Ulrich	ウルリヒ
Utz	ウッツ
Uwe	ウーヴェ
Valentin	ヴァレンティーン
Veit	ファイト
Viktor	ヴィクトール、ヴィクトア
Vincenz	ヴィンツェンツ
Vinzenz	ヴィンツェンツ
Volker	フォルカー
Volkhard	フォルクハルト
Volkmar	フォルクマー
Waldemar	ヴァルデマール、ヴァルデマー
Walter	ヴァルター
Walther	ヴァルター
Wendel	ヴェンデル
Wendelin	ヴェンデリン
Wenzel	ヴェンツェル
Werner	ヴェルナー
Wernher	ヴェルナー
Wieland	ヴィーラント
Wilfried	ヴィルフリート
Wilhelm	ヴィルヘルム
Willi	ヴィリ
Willibald	ヴィリバルト
Willy	ヴィリー
Wilmar	ヴィルマー
Wim	ヴィム
Winfried	ヴィンフリート
Woldemar	ヴォルデマール、ヴォルデマー
Wolf	ヴォルフ
Wolfgang	ヴォルフガング
Wolfram	ヴォルフラム
Xaver	クサーヴァー
Yvo	イーヴォ
