Ada	アーダ
Giulia	ジュリア、ジューリア
Giuliamaria	ジュリアマリア、ジュリアマリーア
Giuliana	ジュリアーナ
Giulietta	ジュリエッタ
Giuseppa	ジュゼッパ
Giuseppina	ジュゼッピーナ
Giusta	ジュスタ
Giustina	ジュスティーナ
Gloria	グローリア
Grazia	グラツィア、グラッツィア
Graziana	グラツィアーナ
Graziella	グラツィエッラ
Greta	グレータ、グレタ
Griselda	グリゼルダ
Idea	イデア
Ilaria	イラーリア
Ilda	イルダ
Ilenia	イレーニア
Ilva	イルヴァ
Imelda	イメルダ
Immacolata	インマコラータ
Innocenza	インノチェンツァ
Iolanda	イオランダ、ヨランダ
Ippolita	イッポリタ、イッポーリタ
Irene	イレーネ
Irma	イルマ
Isabella	イザベッラ（イザベラ）
Isotta	イゾッタ
Itala	イタラ、イータラ
Italia	イターリア
Ivetta	イヴェッタ
Jolanda	ヨランダ
Katia	カーティア
Lara	ラーラ
Laura	ラウラ
Lauretta	ラウレッタ
Lavinia	ラヴィニア、ラヴィーニア
Lea	レーア
Leda	レーダ
Lena	レーナ
Leontina	レオンティーナ
Letizia	レティツィア、レティーツィア
Lia	リア、リーア
Liberata	リベラータ
Licia	リーチャ
Lidia	リディア、リーディア
Liliana	リリアーナ
Linda	リンダ
Lionella	リオネッラ
Lisa	リーザ
Livia	リヴィア、リーヴィア
Loredana	ロレダーナ
Lorella	ロレッラ
Lorena	ロレーナ
Lorenza	ロレンツァ
Loretta	ロレッタ
Luana	ルアーナ
Luce	ルーチェ
Lucia	ルチア
Luciana	ルチャーナ
Lucilla	ルチッラ
Lucrezia	ルクレツィア
Ludovica	ルドヴィカ、ルドヴィーカ
Luigia	ルイージャ
Luisa	ルイーザ
Luna	ルーナ
Maddalena	マッダレーナ
Mafalda	マファルダ
Magda	マグダ
Manuela	マヌエーラ
Mara	マーラ
Marcella	マルチェッラ
Marcellina	マルチェッリーナ
Margherita	マルゲリータ
Maria	マリア、マリーア
Mariana	マリアーナ
Mariangela	マリアンジェラ
Marianna	マリアンナ
Marica	マリカ
Mariella	マリエッラ
Marietta	マリエッタ
Marilena	マリレーナ
Marina	マリーナ
Marinella	マリネッラ
Marinetta	マリネッタ
Marisa	マリーザ
Marta	マルタ
Martina	マルティーナ
Marzia	マルツィア
Massima	マッシマ
Matilde	マティルデ
Maura	マウラ
Melania	メラーニア
Melissa	メリッサ
Mercede	メルチェーデ
Michela	ミケーラ
Mila	ミーラ
Milena	ミレーナ
Mina	ミーナ
Minerva	ミネルヴァ
Mirella	ミレッラ
Miriam	ミリアム
Modesta	モデスタ
Monica	モニカ
Morena	モレーナ
Morgana	モルガーナ
Nadia	ナーディア
Natalia	ナタリア
Natalina	ナタリーナ
Nerea	ネレーア
Nerina	ネリーナ
Nicla	ニクラ
Nicoletta	ニコレッタ
Nilde	ニルデ
Nina	ニナ、ニーナ
Ninfa	ニンファ
Nives	ニヴェス、ニーヴェス
Noemi	ノエミ
Nora	ノーラ
Norma	ノルマ
Novella	ノヴェッラ
Nunzia	ヌンツィア
Odetta	オデッタ
Ofelia	オフェーリア
Olga	オルガ
Olimpia	オリンピア
Olivia	オリーヴィア
Oliviera	オリヴィエラ
Ombretta	オンブレッタ
Ondina	オンディーナ
Onesta	オネスタ
Orestilla	オレスティッラ
Oriana	オリアーナ
Orietta	オリエッタ
Ornella	オルネッラ
Ortensia	オルテンシア
Osanna	オザンナ
Ottavia	オッタヴィア
Ottilia	オッティーリア
Pamela	パメラ
Paola	パオラ
Paolina	パオリーナ
Patrizia	パトリツィア
Penelope	ペネロペ
Perla	ペルラ、ペールラ
Petronilla	ペートロニッラ
Pia	ピア、ピーア
Piera	ピエラ
Pierina	ピエリーナ
Priscilla	プリシッラ
Rachele	ラケーレ
Raffaella	ラファエラ、ラッファエッラ
Rebecca	レベッカ
Regina	レジーナ
Renata	レナータ
Riccarda	リッカルダ
Rita	リータ
Roberta	ロベルタ
Romana	ロマーナ
Romilda	ロミルダ
Romina	ロミーナ
Rosa	ローザ
Rosalia	ロザリア
Rosalinda	ロザリンダ
Rosanna	ロザンナ
Rosetta	ロゼッタ
Rosita	ロジータ
Rossana	ロッサーナ
Rossella	ロッセッラ
Rufina	ルフィナ
Saba	サーバ
Sabina	サビーナ
Sabrina	サブリーナ
Samanta	サマンタ
Samantha	サマンタ
Sandra	サンドラ
Sara	サーラ
Seconda	セコンダ
Secondina	セコンディーナ
Selene	セレーネ
Serafina	セラフィーナ
Serena	セレーナ
Severa	セヴェーラ
Sibilla	シビッラ
Silvana	シルヴァーナ
Silvia	シルヴィア
Simona	シモーナ
Simonetta	シモネッタ
Sofia	ソフィア、ソフィーア
Sonia	ソニア、ソーニア
Stefania	ステファニア、ステファーニア
Stella	ステッラ
Susanna	スザンナ
Sveva	ズヴェーヴァ
Tamara	タマーラ
Tarquinia	タルクウィニア
Tea	テーア
Tecla	テクラ
Teodora	テオドーラ
Teofila	テオフィラ
Teresa	テレーザ
Tina	ティーナ
Tiziana	ティツィアーナ
Tosca	トスカ
Tullia	トゥッリア、トゥーリア
Valentina	ヴァレンティーナ
Valeria	ヴァレーリア
Valeriana	ヴァレリアナ、ヴァレリアーナ
Vanda	ヴァンダ
Vanessa	ヴァネッサ
Vanna	ヴァンナ
Veneranda	ヴェネランダ
Vera	ヴェーラ、ヴェラ
Verdiana	ヴェルディアナ
Veronica	ヴェロニカ
Vincenza	ヴィンチェンツァ
Viola	ヴィオラ
Violante	ヴィオランテ
Violetta	ヴィオレッタ
Virginia	ヴィルジニア、ヴィルジーニア
Vittoria	ヴィットーリア
Viviana	ヴィヴィアーナ
Wanda	ヴァンダ
Zaira	ザイラ
Zita	ジータ
Zoe	ゾーエ
