Marcus	マーカス
Mark	マーク
Martin	マーティン
Marty	マーティー
Marvin	マーヴィン
Mathew	マシュー
Matthew	マシュー
Maurice	モーリス
Max	マックス
Maximilian	マクシミリアン
Maynard	メイナード
Melvin	メルヴィン
Meredith	メレディス
Michael	マイケル
Mick	ミック
Mickey	ミッキー
Micky	ミッキー
Mike	マイク
Miles	マイルズ
Mitchell	ミッチェル
Montague	モンタギュー
Morgan	モーガン
Morris	モーリス
Moses	モージズ、モーゼズ
Myles	マイルズ
Nate	ネイト
Nathan	ネイサン
Nathaniel	ナサニエル
Neil	ニール
Nicholas	ニコラス
Nick	ニック
Nicolas	ニコラス
Nigel	ナイジェル
Noah	ノア
Noel	ノエル
Norman	ノーマン
Oliver	オリヴァー
Oscar	オスカー
Oswald	オズワルド
Othniel	オスニエル
Owen	オーウェン、オーエン
Pascal	パスカル
Pat	パット
Patrick	パトリック
Paul	ポール
Perceval	パーシヴァル
Percival	パーシヴァル
Percy	パーシー
Peter	ピーター
Phil	フィル
Philander	フィランダー
Philip	フィリップ
Phillip	フィリップ
Quentin	クェンティン
Quincy	クィンシー
Rafe	レイフ
Ralph	レイフ、ラルフ
Randall	ランドル
Randolf	ランドルフ
Randolph	ランドルフ
Randy	ランディー
Raphael	ラフェエル
Ray	レイ
Raymond	レイモンド
Reginald	レジナルド
Rex	レックス
Reynold	レナルド
Richard	リチャード
Rick	リック
Ricky	リッキー
Rob	ロブ
Robert	ロバート
Robin	ロビン
Roderick	ロードリック
Rodger	ロジャー
Rodney	ロドニー
Roger	ロジャー
Roland	ローランド
Roman	ローマン
Ronald	ロナルド
Ronnie	ロニー
Rowland	ローランド
Roy	ロイ
Rufus	ルーファス
Rupert	ルパート、ルーパート
Russel	ラッセル
Russell	ラッセル
Sam	サム
Sammy	サミー
Samuel	サミュエル
Sandy	サンディー
Scott	スコット
Sebastian	セバスチャン
Shaun	ショーン
Sidney	シドニー
Silas	サイラス
Silvester	シルヴェスター
Simeon	シミオン
Simon	サイモン
Solomon	ソロモン
Spencer	スペンサー
Stanley	スタンリー
Stephen	スティーヴン
Steve	スティーヴ
Steven	スティーヴン
Stevie	スティーヴィー
Stewart	スチュアート
Stuart	スチュアート
Sylvester	シルヴェスター
Ted	テッド
Teddy	テディ、テディー
Terence	テレンス
Terrence	テレンス
Terry	テリー
Thaddeus	サディアス
Theodore	シオドア、セオドア
Theodoric	シオドリック、セオドリック
Thom	トム
Thomas	トーマス、トマス
Tim	ティム
Timothy	ティモシー
Tobias	トバイアス
Toby	トビー
Tom	トム
Tommy	トミー
Tony	トニー
Tracy	トレイシー、トレーシー
Travis	トラヴィス
Trevor	トレヴァー
Tristan	トリスタン
Ulysses	ユリシーズ
Valentine	ヴァレンタイン
Victor	ヴィクター
Vince	ヴィンス
Vincent	ヴィンセント
Virgil	ヴァージル
Vivian	ヴィヴィアン
Wallace	ウォーレス
Walt	ウォルト
Walter	ウォルター
Warren	ウォーレン
Wesley	ウェズリー、ウェスリー
Wilfred	ウィルフレッド
William	ウィリアム
Winston	ウィンストン
Zachariah	ザカライア
Zachary	ザカリー
Zechariah	ザカライア
