Casares	カサレス
Casárez	カサレス
Casas	カーサス
Casero	カセロ
Casillas	カシジャス、カシーヤス
Castañeda	カスタニェーダ
Castedo	カステド
Castellanos	カステジャノス
Castells	カステイス
Castillejo	カスティジェホ
Castillo	カスティージョ、カスティーリョ
Castro	カストロ
Cavazos	カバソス
Cazalilla	カサリジャ
Cazares	カサレス
Cazorla	カソルラ
Ceballos	セバジョス
Cebrián	セブリアン
Cebro	セブロ
Cedillo	セディージョ
Ceja	セハ
Cela	セラ
Centeno	センテーノ
Cepeda	セペダ
Cerdà	セルダ
Cerra	セラ
Cervantes	セルバンテス
Cervántez	セルバンテス
Cervera	セルベラ
César	セサル
Cesco	セスコ
Chacón	チャコン
Chapa	チャパ
Chapi	チャピ
Chavarría	チャバリア
Chávez	チャベス
Chueca	チュエカ
Ciges	シヘス
Cintado	シンタド
Cintrón	シントロン
Cisneros	シスネロス
Clavijo	クラビホ
Cobos	コボス
Cofiño	コフィーニョ
Collado	コジャド
Collazo	コジャーソ
Colón	コロン
Colunga	コルンガ
Comas	コマス
Combarro	コンバロ
Comejo	コメホ
Comellas	コメジャス、コメリャス
Concepción	コンセプシオン
Conde	コンデ
Contesti	コンテスティ
Contreras	コントレーラス
Cordero	コルデーロ
Córdova	コルドバ
Corera	コレラ
Cornejo	コルネホ
Cornet	コルネート
Corona	コロナ
Coronado	コロナード
Corostola	コロストラ
Corral	コラル
Corrales	コラレス
Correa	コルレア
Cortés	コルテス
Cortéz	コルテス
Cortina	コルティナ
Cortis	コルティス
Costa	コスタ
Coto	コト
Cotto	コット
Covarrubias	コバルビアス
Crespo	クレスポ
Cruz	クルス
Cuadra	クアドラ
Cuadrado	クアドラド
Cubedo	クベード
Cubiles	クビレス
Cuellar	クエジャル
Cuervas	クエルバス
Curiel	クリエル
Dalí	ダリ
Dávila	ダビラ
Davino	ダビーノ
Davó	ダボ
Daza	ダサ
de Anda	デ・アンダ
de Jesús	デ・ヘスス
de la Cámara	デ・ラ・カマラ
de los Ríos	デ・ロス・リオス
de Pedro	デ・ペドロ
Defilló	デフィジョ
del Campo	デル・カンポ
del Olmo	デル・オルモ
del Rey	デル・レイ
del Rio	デル・リオ
Delá	デラ
Delacrúz	デラクルス
Delafuente	デラフエンテ
Delagarza	デラガルサ
Delao	デラオ
Delapaz	デラパス
Delarosa	デラロサ
Delatorre	デラトルレ
Deleón	デレオン
Delgadillo	デルガディジョ
Delgado	デルガド
Delibes	デリベス
Delrío	デルリオ
Delvalle	デルバジェ
Dengra	デングラ
Devota	デボタ
Díaz	ディアス
Díez	ディエス
Diges	ディヘス
Dolores	ドローレス
Domingo	ドミンゴ
Domínguez	ドミンゲス
Domínquez	ドミンケス
Donoso	ドノソ
Dorado	ドラード
Duarte	ドゥアルテ
Dueñas	ドゥエニャス
Duque	ドゥケ
Duran	ドゥラン
Echevarría	エチェバリア、エチェバルリア
Echeverría	エチェベリア
Elizalde	エリサルデ
Elizondo	エリソンド
Elola	エローラ
Encina	エンシーナ
Encinar	エンシナル
Encinas	エンシーナス
Engonga	エンゴンガ
Enrique	エンリケ
Enríquez	エンリケス
Erice	エリセ
Escalante	エスカランテ
Escamilla	エスカミジャ
Escarpa	エスカルパ
Escobar	エスコバル
Escobedo	エスコベド
Escudero	エスクデーロ
Esparrtero	エスパルテロ
Esparza	エスパルサ
Espinal	エスピナル
Espinel	エスピネル
Espino	エスピノ
Espinosa	エスピノサ
Espinoza	エスピノサ
