Bruchollerie	ブリュショルリー
Brugnon	ブリュニョン
Brulé	ブリュレ
Bruneau	ブリュノー
Brunel	ブリュネル
Brunet	ブリュネ
Brunot	ブリュノ
Bruyère	ブリュイエール
Bucquet	ビュケ
Buffard	ビュファール
Buffet	ビュッフェ、ビュフェ
Buffin	ビュファン
Buffon	ビュフォン
Buillet	ビュイエ
Buisson	ビュイソン
Bullant	ビュラン
Bunlet	ビュンレ
Burles	ビュルル
Bussières	ビュシエール
Butor	ビュトール
Cabanel	カバネル
Cadiot	カディオ
Cagnard	カニャール
Cahen	カアン
Cahuzac	カユザク
Caillet	カイレ
Cailletet	カイユテ
Caix	ケ
Calmel	カルメル
Calvé	カルヴェ
Calvet	カルヴェ
Cambon	カンボン
Camboulives	カンブリーヴ
Camus	カミュ
Canteloube	カントルーブ
Cantet	カンテ
Caplet	カプレ
Capoul	カプール
Capuçon	カピュソン
Caradeux	カラドゥ
Carlier	カルリエ
Carmet	カルメ
Carné	カルネ
Carnot	カルノー
Caron	カロン
Carpentier	カルパンティエ
Carré	カレ
Carrère	カレール
Carrié	カリエ
Carrière	カリエール
Casadesus	カザドシュ
Castagnier	カスタニエ
Castaing	カステン
Castel	カステル
Caubère	コベール
Cauderlier	コデルリエ
Cavaignac	カヴェニャック
Cavet	カヴェ
Cayrol	ケロール
Cazauran	カゾーラン
Cazeneuve	カズヌーヴ
Cédolin	セドラン
Céline	セリーヌ
Cernay	セルネ
Certon	セルトン
Césaire	セザール
Cesbron	セスブロン
Cézanne	セザンヌ
Chabrier	シャブリエ
Chabroux	シャブルー
Chabrun	シャブラン
Chagnon	シャニョン
Chailley	シャイエ
Chalet	シャレ
Chalier	シャリエ
Chalou	シャルー
Chambon	シャンボン
Chaminade	シャミナード
Chamoiseau	シャモワゾー
Chamonin	シャモナン
Champollion	シャンポリオン
Chandernagor	シャンデルナゴール
Chanel	シャネル
Chanoine	シャノワーヌ
Chapdelaine	シャプドレーヌ
Chapelet	シャプル
Chappuis	シャピュイ
Chapuis	シャピュイ
Chardin	シャルダン
Charette	シャレット
Charlier	シャルリエ
Charlois	シャルロワ
Charpentier	シャルパンチエ、シャルパンティエ
Charrier	シャリエ
Charrière	シャリエール
Chartier	シャルチエ
Chartres	シャルトル
Chassagne	シャサーヌ
Châtaignier	シャテニエ
Chateaubriand	シャトーブリアン
Chaumont	ショモン
Chausson	ショーソン
Chaussonnière	ショーソンニエル
Chauveau	ショヴォー
Chauvet	ショーヴェ
Chauvin	ショヴァン、ショーヴァン
Chauviré	ショヴィレ
Chavannes	シャヴァンヌ
Chavenon	シャヴノン
Chelard	シュラール
Chemin	シュマン
Chenal	シュナル
Chéron	シェロン
Chevalier	シュヴァリエ
Chevènement	シュヴェーヌマン
Chevillard	シュヴィヤール
Chevrin	シュヴラン
Chintreuil	シャントルイユ
Chirac	シラク
Chrétien	クレチアン
Cixous	シクスー
Clair	クレール
Clapisson	クラピソン
Clarac	クララック
Claretie	クラルティ
Claudel	クロデル
Clavel	クラヴェル
Claverie	クラヴリー
Clémenceau	クレマンソー
Clément	クレマン
Clérambault	クレランボー
Clidat	クリダ
Cloquet	クロケ
Clouzot	クルーゾー
Cochet	コシェ
Cocteau	コクトー
Coeuriot	ケーリオ
Colbert	コルベール
Colette	コレット
Collard	コラール
Collasse	コラス
Collet	コレ
Colombe	コロンブ
Colonne	コロンヌ
Combes	コンベ
Command	コマン
Commette	コメット
Compain	コンパン
Comte	コント
Constant	コンスタン
Coquard	コカール
Coquereau	コケロー
Corbel	コルベル
Corbusier	コルビュジエ
Corneille	コルネイユ
Cornu	コルニュ
Cornut	クールニュ
Corot	コロー
Corrette	コレット
Cortot	コルトー
Cottavoz	コタヴォ
Coty	コチ、コティ
Coubertin	クーベルタン
Coulet	クレ
Coulon	クーロン
Couperin	クプラン
Courand	クーラン
Courbet	クールベ
Courboin	クルボワン
Cournand	クールナン
Courrèges	クレージュ、クーレージュ
Cousin	クザン
Cousteau	クストー
Couturier	クチュリエ
Couve	クーヴ
