Saini	サイニ
Salla	サッラ
Salli	サッリ
Salme	サルメ
Sandra	サンドラ
Sanelma	サネルマ
Sanna	サンナ
Sanni	サンニ
Sara	サラ
Sari	サリ
Satu	サトゥ
Seija	セイヤ
Selja	セリヤ
Selma	セルマ
Senja	セニヤ
Senni	センニ
Serafiina	セラフィーナ
Sesilia	セシリア
Signe	シグネ
Siiri	シーリ
Silja	シリヤ
Silva	シルヴァ
Sini	シニ
Sinikka	シニッカ
Sirkka	シルッカ
Sirkku	シルック
Sirpa	シルパ
Sisko	シスコ
Sivi	シヴィ
Sofia	ソフィア
Sohvi	ソホヴィ
Soila	ソイラ
Soile	ソイレ
Soili	ソイリ
Sointu	ソイントゥ
Solja	ソリヤ
Sonja	ソニヤ
Sorja	ソルヤ
Stiina	スティーナ
Suoma	スオマ
Suometar	スオメタル
Susanna	スサンナ
Suvi	スヴィ
Sylvi	シュルヴィ
Sylvia	シュルヴィア
Taija	タイヤ
Taimi	タイミ
Taina	タイナ
Talvikki	タルヴィッキ
Tanja	タニヤ
Tarja	タルヤ
Taru	タル
Tea	テア
Teija	テイヤ
Tellervo	テッレルヴォ
Teresa	テレサ
Terhi	テルヒ
Terhikki	テルヒッキ
Terttu	テルットゥ
Tiia	ティーア
Tiina	ティーナ
Tilda	ティルダ
Tinja	ティニヤ
Toini	トイニ
Tuija	トゥイヤ
Tuire	トゥイレ
Tuomi	トゥオミ
Tuovi	トゥオヴィ
Tuula	トゥーラ
Tuuli	トゥーリ
Tuulia	トゥーリア
Tuulikki	トゥーリッキ
Tyyne	テューネ
Tyyni	テューニ
Ulla	ウッラ
Ulpu	ウルプ
Ulriikka	ウルリーッカ
Unelma	ウネルマ
Ursula	ウルスラ
Valma	ヴァルマ
Valpuri	ヴァルプリ
Vanamo	ヴァナモ
Vappu	ヴァップ
Varma	ヴァルマ
Varpu	ヴァルプ
Vaula	ヴァウラ
Veera	ヴェーラ
Vellamo	ヴェッラモ
Venla	ヴェンラ
Verna	ヴェルナ
Viena	ヴィエナ
Vieno	ヴィエノ
Viivi	ヴィーヴィ
Vilhelmiina	ヴィルヘルミーナ
Vilja	ヴィリヤ
Vilma	ヴィルマ
Virpi	ヴィルピ
Virva	ヴィルヴァ
Virve	ヴィルヴェ
Vuokko	ヴオッコ
