Aart	アールト
Rafaël	ラファエル
Rein	ライン
Reinier	ライニール
Reinoud	レイナウト
Reinout	レイナウト
Rembrandt	レンブラント
René	レネ
Rens	レンス
Richard	リシャルト
Rien	リーン
Rik	リック
Rini	リニ
Rinus	リニュス、リーヌス
Riny	リニ
Rob	ロプ
Robert	ロベルト、ローベルト
Robin	ロビン
Robrecht	ロブレヒト
Rochus	ロキュス
Rodolf	ロドルフ
Roel	ルール
Roeland	ルーラント
Roelof	ルーロフ
Rombout	ロンバウト
Rupert	ルーペルト
Rutger	ルトヘル
Ruud	ルート
Samuel	サミュエル、サムエル
Sander	サンデル
Schelto	シェルト
Sebastiaan	セバスティアーン
Servaas	セルファース
Siem	シーム
Siemen	シーメン
Sieuwerd	シーウェルト
Simon	シモン
Sjaak	シャーク
Sjakie	シャーキー
Sjef	シェフ
Sjoerd	シュールト
Sjors	ショルス
Staas	スタース
Stef	ステフ
Stefan	ステファン
Stefanus	ステファヌス
Steffen	ステフェン
Sten	ステン
Stephan	ステファン
Steven	ステーフェン
Stijn	ステイン
Sven	スヴェン
Teun	トゥーン
Teunis	トゥーニス
Theo	テオ
Theodoor	テオドール、テオドウル
Theodorus	テオドルス
Theofilus	テオフィリュス
Theun	トゥーン
Theunis	トゥーニス
Thiemo	ティモ
Thijmen	テイメン
Thijs	テイス
Thomas	トーマス
Tiede	ティーデ
Ties	ティース
Tijmen	テイメン
Tijn	テイン
Tim	ティム
Timo	ティモ
Timon	ティモン
Timotheus	ティモテース、ティモテュース
Tjaard	チャールト
Tjeerd	チェールト
Tobias	トビアス
Tom	トム
Ton	トン
Toon	トーン、トウン
Tuur	テュール
Tygo	ティホ
Valentijn	ファーレンテイン
Victor	フィクトル
Vincent	フィンセント
Wendel	ヴェンデル
Wendelin	ヴェンデリン
Werner	ヴェルネル
Wessel	ヴェッセル
Wibo	ヴィボ
Wiebe	ヴィーベ
Wil	ヴィル
Wilbert	ヴィルベルト
Wilhelmus	ヴィルヘルムス、ヴィルヘルミュス
Willem	ヴィレム
Willy	ヴィリー
Wim	ヴィム
Wob	ヴォプ
Wolter	ヴォルテル
Wouter	ヴァウテル
Wubbe	ヴュッベ
Xander	クサンデル
Yorick	ヨリック
Yvo	イーフォ
