Abenius	アベニウス
Westberg	ヴェストバリ
Westerberg	ヴェステルバリ
Westerdahl	ヴェステルダール
Westergren	ヴェステルグレーン
Westerholm	ヴェステルホルム
Westerlund	ヴェステルンド
Westermarck	ヴェステルマルク
Westin	ヴェスティーン
Westling	ヴェストリン
Wettergren	ヴェッターグレーン
Wetterstrand	ヴェッタシュトランド
Wiberg	ヴィーバリ
Wibergh	ヴィーベリ
Wicksell	ヴィクセル
Wideen	ヴィデーン
Widegren	ヴィーデグレーン
Widén	ヴィデアン、ヴィデーン
Widing	ヴィーディン
Widstrand	ヴィードストランド
Widström	ヴィドストレーム
Wieselgren	ヴィーセルグレーン
Wijkander	ヴィーカンデル
Wikander	ヴィカンデル
Wikén	ヴィケーン、ヴィケアン
Wiklund	ヴィクルンド
Wikman	ヴィークマン
Wikström	ヴィークストレーム
Wilhelmsson	ヴィルヘルムソン
Winberg	ヴィンバリ
Wiren	ヴィレーン
Wistrand	ヴィストランド
Wkander	ヴィカンデル
Wohlfart	ヴォールファート
Wollgård	ヴォルゴード
Wretblad	ヴレットブラード
Ytterström	イッターシュトレーム
Zellbell	セルベル
Zetterberg	セッテルバリ
Zetterholm	セッテルホルム
Zetterlund	セッテルルンド
Ziedén	シーデーン
