Abenius	アベニウス
Elffors	エルフフォーシュ
Elg	エリ
Eliasson	エリアソン
Elmander	エルマンデル
Enander	エナンデル
Enberg	エーンバリ
Endén	エンデン
Eneström	イェネストレーム、エーネストレーム
Engberg	エングバリ
Engblom	エングブロム
Engdahl	エングダール
Engeström	エンニェストレーム
Engfeldt	エングフェルト
Engfelt	エングフェルト
Engholm	エングホルム
Engkvist	エングクヴィスト
Englund	エングルンド
Engquist	エングクヴィスト
Engqvist	エングクヴィスト
Engstrand	エングストランド
Engström	エングストレーム
Enkvist	エンクヴィスト
Enquist	エンクヴィスト
Enqvist	エンクヴィスト
Enroth	エンロート
Enström	エンストレーム
Ericksson	エリクソン
Ericson	エリクソン
Ericsson	エリクソン
Erikson	エリクソン
Eriksson	エリクソン
Erlander	エルランデル
Erlandsson	エルランドソン
Erlingmark	エリングマルク
Eurenius	エウレニウス
Evander	エヴァンデル
Eyser	エイセル
Fagerholm	ファーゲルホルム
Fagerlin	ファーゲルリーン
Fagerlund	ファーゲルルンド
Fagerström	ファーゲシュトレーム
Fahlcrantz	ファールクランツ
Falk	ファルク
Fälldin	フェルディーン
Fallenius	ファッレニウス
Feldt	フェルト
Fernholm	フェルンホルム
Fernström	フェルンストレーム
Fersen	フェルセン
Fjällström	フィェルストレーム
Florman	フロールマン
Fogelberg	フォーゲルバリ
Fogelin	フォーゲリーン
Fogelklou	フォーゲルクロウ
Fogelström	フォーゲルストレーム
Fogelund	フォーゲルンド
Fohlin	フォーリーン
Forsberg	フォーシュバリ
Forsell	フォシェル、フォーセル
Forsén	フォルシアン
Forsius	フォルシウス
Forslund	フォーシュルンド
Forsman	フォシュマン
Forssell	フォッシェル
Forssen	フォシェーン
Fransson	フランソン
Franzen	フランセーン
Fredenberg	フレーデンバリ
Fredholm	フレドホルム
Fredriksson	フレドリクソン
Freivalds	フレイヴァルツ
Fridegård	フリーデゴード
Fridell	フリデール
Fridén	フリーデン
Fridolin	フリードリーン
Frieberg	フリーバリ
Fröling	フレーリン
Frydén	フリュデン
Frykberg	フリュクバリ
Fryklof	フリュクレフ
Fryklund	フリークルンド
Fryxell	フリクセル
Gabrielsson	ガブリエルソン
Gärderud	ヤーデルード
Garmstedt	ガルムステット
Gatugård	ゴートゥゴード
Gedda	ゲッダ
Gefors	イェフォーシュ
Gegerfelt	イェーゲルフェルト
Geijer	イェイエル
Geist	イェイスト
Göransson	ヨーランソン
Görlin	ヨルリーン
Grafström	グラーフストレーム
Granberg	グランバリ
Granfeldt	グランフェルト
Granfelt	グランフェルト
Granholm	グランホルム
Grankvist	グランクヴィスト
Granlund	グランルンド
Granman	グランマン
Granquist	グランクヴィスト
Granqvist	グランクヴィスト
Granström	グランストレーム
Grevillius	グレヴィリウス
Grip	グリプ
Grönberg	グレンバリ
Grönlund	グレーンルンド
Grunden	グルンデン
Grundström	グルンドストレーム
Gulbranson	グルブランソン
Gullberg	グッルバリ
Gullbrandson	グルブランドソン
Gullstrand	グルストランド
Gunnarsson	グンナション
Gustafsson	グスタヴソン
Gustavson	グスタヴソン
Gustavsson	グスタフソン
Hafgren	ハフグレーン
